FIPS,County,State,FIPS_Year,Year,Total Population,Total Violent And Property Crimes Rate,Violent Crimes Rate,Violent Crimes Rate D,Property Crimes Rate,Property Crimes Rate D,Total Violent Crimes Rate: Rape Legacy Definition,Total Violent Crimes Rate: Murders And Nonnegligent Manslaughters Rate,Total Violent Crimes Rate: Rape Revised Definition Rate,Total Violent Crimes Rate: Rape Legacy Definition Rate,Total Violent Crimes Rate: Robberies Rate,Total Violent Crimes Rate: Aggravated Assaults Rate,Total Property Crimes Rate: Burglaries Rate,Total Property Crimes Rate: Larcenies Rate,Total Property Crimes Rate: Motor Vehicle Thefts Rate,Arsons Rate,Rape Legacy Definition Rate
8113,San Miguel County,Colorado,08113_2013,2013,7697,25.98414967,0,1,25.98414967,1,3.021740215,0,0,0,0,0,25.98414967,0,0,0,18.56312121
8113,San Miguel County,Colorado,08113_2014,2014,7840,0,0,1,0,1,2.830161959,0,0,0,0,0,0,0,0,0,18.37154454
8115,Sedgwick County,Colorado,08115_2018,2018,2303,217.1081198,0,1,217.1081198,1,0,0,0,0,0,0,86.84324794,86.84324794,43.42162397,0,16.88453477
13053,Chattahoochee County,Georgia,13053_2013,2013,12350,218.6234818,0,1,218.6234818,1,0,0,0.045502851,0,0,0,186.2348178,24.29149798,8.097165992,0,18.92812501
13053,Chattahoochee County,Georgia,13053_2014,2014,11837,67.58469207,0,1,67.58469207,1,1.039085163,0,0.080684093,0,0,0,59.13660556,0,8.448086508,5.296921238,18.59458343
13059,Clarke County,Georgia,13059_2013,2013,121206,0,0,1,0,1,0,0,0.057316867,0,0,0,0,0,0,0,17.88196108
13059,Clarke County,Georgia,13059_2015,2015,123912,0,0,1,0,1,9.872924504,0,0.067346092,0,0,0,0,0,0,6.92028902,19.44673092
13059,Clarke County,Georgia,13059_2016,2016,124707,0,0,1,0,1,5.766921628,0,0.028023549,0,0,0,0,0,0,0,18.5213124
1015,Calhoun County,Alabama,01015_2017,2017,115883,197.6131,15.53291,1,182.0802,1,5.474679042,0,6.040575408,1.352875231,6.040575408,3.451757376,80.25335899,100.9639032,0.862939344,0,18.87659269
13061,Clay County,Georgia,13061_2013,2013,3037,0,0,1,0,1,0,0,0.053451909,0,0,0,0,0,0,3.016211284,18.2653606
13067,Cobb County,Georgia,13067_2013,2013,718208,0,0,1,0,1,0,0,0.280999008,0,0,0,0,0,0,0,16.96991508
13067,Cobb County,Georgia,13067_2014,2014,730981,0,0,1,0,1,34.32589007,0,0,0,0,0,0,0,0,0,20.7868641
13089,DeKalb County,Georgia,13089_2014,2014,722161,0,0,1,0,1,34.0023125,0,0,0,0,0,0,0,0,0,20.76417901
13089,DeKalb County,Georgia,13089_2015,2015,734871,0,0,1,0,1,45.89868325,0,0.052480821,0,0,0,0,0,0,15.71864155,23.13104385
13089,DeKalb County,Georgia,13089_2016,2016,740321,0,0,1,0,1,34.66642008,0,0,0,0,0,0,0,0,0,20.810649
1017,Chambers County,Alabama,01017_2017,2017,34018,270.4451,8.818861,1,261.6262,2,6.726413143,0,0,0,2.939620201,5.879240402,97.00746664,152.8602505,11.7584808,0,18.72043238
13089,DeKalb County,Georgia,13089_2018,2018,756558,0,0,1,0,1,35.56334194,0,0,0.106441026,0,0,0,0,0,0,20.88667357
13095,Dougherty County,Georgia,13095_2018,2018,91243,130.4209638,0,1,130.4209638,1,4.946924469,0,0,0,0,0,0,130.4209638,0,0,18.27799488
