FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
3018210,Melrose Elementary School District,Silver Bow County,Montana,18210,,,,,,,,,,4,100,0,0,0,0,0,0,4,0,0,0,0
3018290,Melville Elementary School District,Sweet Grass County,Montana,18290,,,,,,,,,,32,100,0,0,0,0,0,0,10.6,0,0,0,0
3021150,Miami Elementary School District,Pondera County,Montana,21150,,,,,,,,,,24,100,0,0,0,0,0,0,12,0,0,0,0
3018660,Molt Elementary School District,Stillwater County,Montana,18660,,,,,,,,,,2,100,0,0,0,0,0,0,2,0,0,0,0
3018660,Molt Elementary School District,Yellowstone County,Montana,18660,,,,,,,,,,2,100,0,0,0,0,0,0,2,0,0,0,0
3000004,Mountain View Elementary School District,Glacier County,Montana,4,,,,,,,,,,20,100,0,0,0,0,0,0,20,0,0,0,0
3019310,North Harlem Colony Elementary School District,Blaine County,Montana,19310,,,,,,,,,,15,100,0,0,0,0,0,0,7.5,0,0,0,0
3019530,Nye Elementary School District,Stillwater County,Montana,19530,,,,,,,,,,5,100,0,0,0,0,0,0,5,0,0,0,0
3020170,Pass Creek Elementary School District,Gallatin County,Montana,20170,,,,,,,,,,12,100,0,0,0,0,0,0,12,0,0,0,0
3020240,Pendroy Elementary School District,Teton County,Montana,20240,,,,,,,,,,16,100,0,0,0,0,0,0,16,0,0,0,0
3020690,Pine Grove Elementary School District,Garfield County,Montana,20690,,,,,,,,,,8,100,0,0,0,0,0,0,8,0,0,0,0
