FIPS,School District Name,County Names,State,LEA,SchoolDigger Number of Stars Elementary,SchoolDigger Number of Stars High,SchoolDigger Number of Stars Middle,SchoolDigger Rank Elementary,SchoolDigger Rank High,SchoolDigger Rank Middle,SchoolDigger Rank Of Elementary,SchoolDigger Rank Of High,SchoolDigger Rank Of Middle,Number of All students,% White students,% Black students,% Asian students,% Hispanic students,% American Indian/Alaska Native students,% Hawaiian Native/Pacific Islander students,% students with Two or More Races,Total Student membership/Full-Time-Equvalent teachers,Number of Charter schools,% Students Receiving Free or DisNumbered Lunch,Number of Magnet schools,Number of Virtual schools
2009090,Madison-Virgil Unified School District 386,Lyon County,Kansas,9090,5,4,1,46,88,273,667,325,368,239,88.7,2.9,0,2.9,1.3,0,4.2,9.7,0,0,0,0
2009090,Madison-Virgil Unified School District 386,Woodson County,Kansas,9090,5,4,1,46,88,273,667,325,368,239,88.7,2.9,0,2.9,1.3,0,4.2,9.7,0,0,0,0
2011700,Silver Lake Unified School District 372,Shawnee County,Kansas,11700,5,4,5,61,50,26,667,325,368,728,92.9,0,1.1,4.1,0.4,0,1.5,12.15,0,0,0,0
2305310,Easton,Aroostook County,Maine,5310,5,4,,21,22,,254,114,,249,92.4,1.6,0,1.2,4.8,0,0,12.55,0,0,0,0
2305670,Falmouth,Cumberland County,Maine,5670,5,5,5,1,1,1,254,114,85,2103,90.7,1.6,5.8,1.4,0.5,0,0,11.3,0,0,0,0
2314789,Regional School Unit 05,Androscoggin County,Maine,14789,5,5,5,16.33333333,11,8,254,114,85,1947,92.4,1.2,2.7,1.6,0.3,0,1.7,11.53333333,0,0,0,0
2314789,Regional School Unit 05,Cumberland County,Maine,14789,5,5,5,16.33333333,11,8,254,114,85,1947,92.4,1.2,2.7,1.6,0.3,0,1.7,11.53333333,0,0,0,0
2314240,School Administrative District 51,Cumberland County,Maine,14240,5,5,5,7,3,3,254,114,85,2044,93,1.1,1.3,1.8,0.2,0,2.6,11.65,0,0,0,0
2314762,School Administrative District 70,Aroostook County,Maine,14762,5,0,,15,112,,254,114,,463,91.1,0.2,0.2,1.1,4.3,0,3,11.5,0,0,0,0
2628890,Houghton-Portage Township Schools,Houghton County,Michigan,28890,5,5,4,74,34,101,1407,666,791,1433,88.1,0.6,6.4,0.8,0.2,0,3.9,17.96666667,0,0,0,0
2630960,Saugatuck Public Schools,Allegan County,Michigan,30960,5,5,4,126,53,83,1407,666,791,851,91.9,0.2,0.5,4.7,0.6,0,2.1,17.1,0,0,0,0
2703660,Barnesville Public School District,Clay County,Minnesota,3660,5,4,4,17,68,57,859,492,530,854,94.5,0.6,0.1,1.5,0.5,0,2.8,15.45,0,0,0,0
2703660,Barnesville Public School District,Otter Tail County,Minnesota,3660,5,4,4,17,68,57,859,492,530,854,94.5,0.6,0.1,1.5,0.5,0,2.8,15.45,0,0,0,0
2703660,Barnesville Public School District,Wilkin County,Minnesota,3660,5,4,4,17,68,57,859,492,530,854,94.5,0.6,0.1,1.5,0.5,0,2.8,15.45,0,0,0,0
2710170,Delano Public School District,Hennepin County,Minnesota,10170,5,5,5,48,16,18,859,492,530,2521,93.6,0.4,1.1,1.8,0.1,0,3,17.96666667,0,0,0,0
2710170,Delano Public School District,Wright County,Minnesota,10170,5,5,5,48,16,18,859,492,530,2521,93.6,0.4,1.1,1.8,0.1,0,3,17.96666667,0,0,0,0
2738880,Esko Public School District,Carlton County,Minnesota,38880,5,5,5,33,22,26,859,492,530,1267,92.9,0.5,0.5,1,0.4,0,4.7,18.6,0,0,0,0
2711910,Fertile-Beltrami School District,Norman County,Minnesota,11910,5,3,4,70,197,139,859,492,530,460,95.4,0.7,0.4,2,0.7,0,0.9,13.25,0,0,0,0
2711910,Fertile-Beltrami School District,Polk County,Minnesota,11910,5,3,4,70,197,139,859,492,530,460,95.4,0.7,0.4,2,0.7,0,0.9,13.25,0,0,0,0
2720580,Menahga Public School District,Becker County,Minnesota,20580,5,1,2,76,351,335,859,492,530,1015,95.4,0,0.4,1.3,0.3,0,2.7,14.93333333,0,0,0,0
2720580,Menahga Public School District,Hubbard County,Minnesota,20580,5,1,2,76,351,335,859,492,530,1015,95.4,0,0.4,1.3,0.3,0,2.7,14.93333333,0,0,0,0
2720580,Menahga Public School District,Otter Tail County,Minnesota,20580,5,1,2,76,351,335,859,492,530,1015,95.4,0,0.4,1.3,0.3,0,2.7,14.93333333,0,0,0,0
2720580,Menahga Public School District,Wadena County,Minnesota,20580,5,1,2,76,351,335,859,492,530,1015,95.4,0,0.4,1.3,0.3,0,2.7,14.93333333,0,0,0,0
2917820,Ladue School District,St. Louis County,Missouri,17820,5,5,5,61.75,17,12,1039,419,555,4222,58,15.3,15.4,4.9,0.2,0,6.3,12.95714286,0,0,0,0
2921480,Mound City R-II School District,Holt County,Missouri,21480,5,3,4,19,175,103,1039,419,555,267,97,0,0,0,1.1,0,1.9,11.86666667,0,0,0,0
2925500,Potosi R-III School District,St. Francois County,Missouri,25500,5,5,4,71,36,101,1039,419,555,2153,95.2,0.9,0.1,1,0.1,0,2.6,13.125,0,0,0,0
2925500,Potosi R-III School District,Washington County,Missouri,25500,5,5,4,71,36,101,1039,419,555,2153,95.2,0.9,0.1,1,0.1,0,2.6,13.125,0,0,0,0
2930270,Thayer R-II School District,Oregon County,Missouri,30270,5,3,4,82,180,127,1039,419,555,738,96.7,0.1,0.1,1.2,0.9,0,0.8,12,0,0,0,0
3173710,Milford Public Schools,Lancaster County,Nebraska,73710,5,4,4,36,53,38,452,217,247,754,91.5,1.5,0.8,3.3,0.7,0,2.3,15.35,0,0,0,0
3173710,Milford Public Schools,Saline County,Nebraska,73710,5,4,4,36,53,38,452,217,247,754,91.5,1.5,0.8,3.3,0.7,0,2.3,15.35,0,0,0,0
3173710,Milford Public Schools,Seward County,Nebraska,73710,5,4,4,36,53,38,452,217,247,754,91.5,1.5,0.8,3.3,0.7,0,2.3,15.35,0,0,0,0
3175390,Pender Public Schools,Cuming County,Nebraska,75390,5,5,5,15,20,12,452,217,247,384,89.6,0.3,0,6.8,1.3,0,2.1,11.45,0,0,0,0
3175390,Pender Public Schools,Thurston County,Nebraska,75390,5,5,5,15,20,12,452,217,247,384,89.6,0.3,0,6.8,1.3,0,2.1,11.45,0,0,0,0
3175390,Pender Public Schools,Wayne County,Nebraska,75390,5,5,5,15,20,12,452,217,247,384,89.6,0.3,0,6.8,1.3,0,2.1,11.45,0,0,0,0
3176560,Seward Public Schools,Butler County,Nebraska,76560,5,4,5,33,39,10,452,217,247,1446,93.5,0.7,0,3.7,0.3,0,1.8,14.66666667,0,0,0,0
3176560,Seward Public Schools,Seward County,Nebraska,76560,5,4,5,33,39,10,452,217,247,1446,93.5,0.7,0,3.7,0.3,0,1.8,14.66666667,0,0,0,0
3411010,Mountain Lakes Borough School District,Morris County,New Jersey,11010,5,4,5,38,53,40,1353,415,716,1513,75.3,1.3,13.5,7.5,0.7,0,1.7,9.05,0,0,0,0
3501050,Fort Sumner Municipal Schools,De Baca County,New Mexico,1050,5,4,4,39,39,28,383,182,186,305,39,0.7,0,58.4,2,0,0,9.733333333,0,0,0,0
3904355,Beachwood City School District,Cuyahoga County,Ohio,4355,5,5,5,37,38,30,1676,836,1050,1587,54.1,19.9,18.3,2.2,0.5,0,5,14,0,0,0,0
3904718,Chardon Local School District,Geauga County,Ohio,4718,5,4,4.5,158,147,85,1676,836,1050,2811,93.1,0.6,0.7,3,0.3,0,2.2,19.95,0,0,0,0
3904718,Chardon Local School District,Lake County,Ohio,4718,5,4,4.5,158,147,85,1676,836,1050,2811,93.1,0.6,0.7,3,0.3,0,2.2,19.95,0,0,0,0
3904406,Girard City School District,Mahoning County,Ohio,4406,5,4,4,76,209,255,1676,836,1050,1684,82.7,7.1,0.5,3.7,0.2,0,5.8,18.25,0,0,0,0
3904406,Girard City School District,Trumbull County,Ohio,4406,5,4,4,76,209,255,1676,836,1050,1684,82.7,7.1,0.5,3.7,0.2,0,5.8,18.25,0,0,0,0
3904986,Lake Local School District,Portage County,Ohio,4986,5,5,5,109,79,48,1676,836,1050,3358,94.6,0.3,0.5,2.1,0.1,0,2.4,18.32,0,0,0,0
3904986,Lake Local School District,Stark County,Ohio,4986,5,5,5,109,79,48,1676,836,1050,3358,94.6,0.3,0.5,2.1,0.1,0,2.4,18.32,0,0,0,0
3904470,Rocky River City School District,Cuyahoga County,Ohio,4470,5,5,5,21,12,8,1676,836,1050,2702,89.6,1.5,2.1,3.3,0.1,0,3.4,18.82,0,0,0,0
4209570,Fairview School District,Erie County,Pennsylvania,9570,5,5,5,148,36,53,1536,688,884,1689,90.3,1.2,2.4,3.7,0.3,0,2.2,16.23333333,0,0,0,0
4210070,Fox Chapel Area School District,Allegheny County,Pennsylvania,10070,5,5,5,32.75,25,31,1536,688,884,3998,81.9,3.8,8.3,3.5,0.1,0,2.5,11.13333333,0,0,0,0
4211400,Hampton Township School District,Allegheny County,Pennsylvania,11400,5,5,5,59,20,19,1536,688,884,2833,92.6,0.8,3.1,0.8,0.1,0,2.5,14.8,0,0,0,0
4220580,South Fayette Township School District,Allegheny County,Pennsylvania,20580,5,5,5,76,18,4,1536,688,884,3218,75.8,2.4,16.2,1.6,0.2,0,3.9,16.925,0,0,0,0
4607400,Bon Homme School District 04-2,Bon Homme County,South Dakota,7400,5,3,2,15,57,77,204,138,147,554,94.2,0,0,1.3,1.6,0,2.9,11.625,0,0,0,0
4607400,Bon Homme School District 04-2,Yankton County,South Dakota,7400,5,3,2,15,57,77,204,138,147,554,94.2,0,0,1.3,1.6,0,2.9,11.625,0,0,0,0
4618120,Dell Rapids School District 49-3,Minnehaha County,South Dakota,18120,5,2,4,3,78,17,204,138,147,933,92.7,0.3,0.1,2.1,2.4,0,2.4,15,0,0,0,0
4618120,Dell Rapids School District 49-3,Moody County,South Dakota,18120,5,2,4,3,78,17,204,138,147,933,92.7,0.3,0.1,2.1,2.4,0,2.4,15,0,0,0,0
4678300,Deubrook School District 05-6,Brookings County,South Dakota,78300,5,2,3,20,86,54,204,138,147,384,94.8,0.5,0.5,3.1,0.8,0,0.3,11.3,0,0,0,0
4678300,Deubrook School District 05-6,Deuel County,South Dakota,78300,5,2,3,20,86,54,204,138,147,384,94.8,0.5,0.5,3.1,0.8,0,0.3,11.3,0,0,0,0
4624030,Faulkton School District 24-4,Edmunds County,South Dakota,24030,5,4,4,18,35,31,204,138,147,332,96.7,0.9,0,0.6,1.2,0,0.6,11.76666667,0,0,0,0
4624030,Faulkton School District 24-4,Faulk County,South Dakota,24030,5,4,4,18,35,31,204,138,147,332,96.7,0.9,0,0.6,1.2,0,0.6,11.76666667,0,0,0,0
4624030,Faulkton School District 24-4,Hand County,South Dakota,24030,5,4,4,18,35,31,204,138,147,332,96.7,0.9,0,0.6,1.2,0,0.6,11.76666667,0,0,0,0
4624030,Faulkton School District 24-4,Hyde County,South Dakota,24030,5,4,4,18,35,31,204,138,147,332,96.7,0.9,0,0.6,1.2,0,0.6,11.76666667,0,0,0,0
4624030,Faulkton School District 24-4,Potter County,South Dakota,24030,5,4,4,18,35,31,204,138,147,332,96.7,0.9,0,0.6,1.2,0,0.6,11.76666667,0,0,0,0
4638220,Kimball School District 07-2,Aurora County,South Dakota,38220,5,3,2,10,65,91,204,138,147,318,90.3,0,0,3.5,2.2,0,4.1,13,0,0,0,0
4638220,Kimball School District 07-2,Brule County,South Dakota,38220,5,3,2,10,65,91,204,138,147,318,90.3,0,0,3.5,2.2,0,4.1,13,0,0,0,0
4638220,Kimball School District 07-2,Buffalo County,South Dakota,38220,5,3,2,10,65,91,204,138,147,318,90.3,0,0,3.5,2.2,0,4.1,13,0,0,0,0
4638220,Kimball School District 07-2,Jerauld County,South Dakota,38220,5,3,2,10,65,91,204,138,147,318,90.3,0,0,3.5,2.2,0,4.1,13,0,0,0,0
4654300,Parkston School District 33-3,Davison County,South Dakota,54300,5,2,3,21,76,58,204,138,147,555,92.3,0.4,0.4,2.2,2.7,0,2.2,12.93333333,0,0,0,0
4654300,Parkston School District 33-3,Douglas County,South Dakota,54300,5,2,3,21,76,58,204,138,147,555,92.3,0.4,0.4,2.2,2.7,0,2.2,12.93333333,0,0,0,0
4654300,Parkston School District 33-3,Hanson County,South Dakota,54300,5,2,3,21,76,58,204,138,147,555,92.3,0.4,0.4,2.2,2.7,0,2.2,12.93333333,0,0,0,0
4654300,Parkston School District 33-3,Hutchinson County,South Dakota,54300,5,2,3,21,76,58,204,138,147,555,92.3,0.4,0.4,2.2,2.7,0,2.2,12.93333333,0,0,0,0
4675660,Wall School District 51-5,Meade County,South Dakota,75660,5,3,5,19,62,11,204,138,147,257,84.4,0.8,0.4,0.8,13.2,0,0.4,10.175,0,0,0,0
4675660,Wall School District 51-5,Pennington County,South Dakota,75660,5,3,5,19,62,11,204,138,147,257,84.4,0.8,0.4,0.8,13.2,0,0.4,10.175,0,0,0,0
4676020,Warner School District 06-5,Brown County,South Dakota,76020,5,5,4,11,3,19,204,138,147,313,91.7,1.6,0.3,1.9,2.2,0,2.2,13.9,0,0,0,0
4676020,Warner School District 06-5,Edmunds County,South Dakota,76020,5,5,4,11,3,19,204,138,147,313,91.7,1.6,0.3,1.9,2.2,0,2.2,13.9,0,0,0,0
4676020,Warner School District 06-5,Spink County,South Dakota,76020,5,5,4,11,3,19,204,138,147,313,91.7,1.6,0.3,1.9,2.2,0,2.2,13.9,0,0,0,0
4827570,Lindsay Independent School District,Cooke County,Texas,27570,5,5,5,392,163,116,4421,1839,2122,496,93.8,0.4,1.6,2.2,1.2,0,0.8,13.3,0,0,0,0
4832220,Nazareth Independent School District,Castro County,Texas,32220,5,5,4,276,89,214,4421,1839,2122,250,87.6,0.8,0,9.6,2,0,0,11.7,0,0,0,0
5103950,West Point Town Public Schools,King William County,Virginia,3950,5,5,4,110,32,64,1102,327,421,812,71.7,10.7,2.2,5.3,0.9,0,9.2,12.66666667,0,0,0,0
5508340,Luxemburg-Casco School District,Brown County,Wisconsin,8340,5,3,4,45,194,65,1066,402,616,1899,93.1,0.6,0.2,5.3,0.2,0,0.7,13.575,0,0,0,0
5508340,Luxemburg-Casco School District,Kewaunee County,Wisconsin,8340,5,3,4,45,194,65,1066,402,616,1899,93.1,0.6,0.2,5.3,0.2,0,0.7,13.575,0,0,0,0
5604860,Sublette County School District 1,Sublette County,Wyoming,4860,5,4,4,8,14,23,153,77,76,1064,85.3,0.2,1.8,10.3,1,0,1.3,10.26,0,0,0,0
509390,Marion School District,Crittenden County,Arkansas,9390,,1,1,,204,259,,282,319,3879,39.4,51.7,0.8,6.2,0.2,0,1.7,14.83333333,0,0,0,0
1000270,Delmar School District,Sussex County,Delaware,270,,3,3,,12,20,,30,35,1330,69.6,14.1,2.8,6.9,0.5,0,6.2,14.43333333,0,0,0,0
1909570,Boyer Valley Community School District,Crawford County,Iowa,9570,,2,1,,201,240,,320,318,450,91.6,0.2,0,5.1,0.7,0,2.4,12.9,0,0,0,0
1909570,Boyer Valley Community School District,Harrison County,Iowa,9570,,2,1,,201,240,,320,318,450,91.6,0.2,0,5.1,0.7,0,2.4,12.9,0,0,0,0
1909570,Boyer Valley Community School District,Monona County,Iowa,9570,,2,1,,201,240,,320,318,450,91.6,0.2,0,5.1,0.7,0,2.4,12.9,0,0,0,0
1909570,Boyer Valley Community School District,Shelby County,Iowa,9570,,2,1,,201,240,,320,318,450,91.6,0.2,0,5.1,0.7,0,2.4,12.9,0,0,0,0
1911070,Estherville Lincoln Central Community School Distr,Dickinson County,Iowa,11070,,2,1,,220,268,,320,318,1316,72.7,1.4,0.6,22.9,0.2,0,2.2,13.4,0,0,0,0
1911070,Estherville Lincoln Central Community School Distr,Emmet County,Iowa,11070,,2,1,,220,268,,320,318,1316,72.7,1.4,0.6,22.9,0.2,0,2.2,13.4,0,0,0,0
1900060,GMG Community School District,Marshall County,Iowa,60,,1,3,,253,106,,320,318,533,91,1.9,1.5,4.7,0.9,0,0,14,0,0,0,0
1900060,GMG Community School District,Tama County,Iowa,60,,1,3,,253,106,,320,318,533,91,1.9,1.5,4.7,0.9,0,0,14,0,0,0,0
1929490,Waco Community School District,Henry County,Iowa,29490,,2,4,,192,80,,320,318,491,88.2,1.2,2,6.5,0.6,0,1.4,12,0,0,0,0
1929490,Waco Community School District,Louisa County,Iowa,29490,,2,4,,192,80,,320,318,491,88.2,1.2,2,6.5,0.6,0,1.4,12,0,0,0,0
1929490,Waco Community School District,Washington County,Iowa,29490,,2,4,,192,80,,320,318,491,88.2,1.2,2,6.5,0.6,0,1.4,12,0,0,0,0
2004170,Altoona-Midway Unified School District 387,Wilson County,Kansas,4170,,1,1,,269,264,,325,368,180,84.4,0,0,3.9,1.7,0,10,9.95,0,0,0,0
2004170,Altoona-Midway Unified School District 387,Woodson County,Kansas,4170,,1,1,,269,264,,325,368,180,84.4,0,0,3.9,1.7,0,10,9.95,0,0,0,0
2101440,Danville Independent School District,Boyle County,Kentucky,1440,,2,3,,166,165,,282,332,1940,59.6,16.9,0.7,11.8,0.2,0,10.8,13.5,0,0,0,0
2511490,Tantasqua School District,Hampden County,Massachusetts,11490,,3,3,,160.5,170,,354,498,1788,90.5,0.7,0.9,5.1,0.2,0,2.5,19.2,0,0,0,0
2511490,Tantasqua School District,Worcester County,Massachusetts,11490,,3,3,,160.5,170,,354,498,1788,90.5,0.7,0.9,5.1,0.2,0,2.5,19.2,0,0,0,0
2613110,Ellsworth Community Schools,Antrim County,Michigan,13110,,2,3,,391,261,,666,791,265,84.5,1.1,1.1,6.4,1.9,0,4.9,16.2,0,0,0,0
2613110,Ellsworth Community Schools,Charlevoix County,Michigan,13110,,2,3,,391,261,,666,791,265,84.5,1.1,1.1,6.4,1.9,0,4.9,16.2,0,0,0,0
2600014,Ewen-Trout Creek Consolidated Schools,Houghton County,Michigan,14,,1,2,,494,536,,666,791,204,90.7,0.5,0,3.9,3.4,0,1.5,12.2,0,0,0,0
2600014,Ewen-Trout Creek Consolidated Schools,Ontonagon County,Michigan,14,,1,2,,494,536,,666,791,204,90.7,0.5,0,3.9,3.4,0,1.5,12.2,0,0,0,0
3501770,Magdalena Municipal Schools,Socorro County,New Mexico,1770,,1,2,,160,122,,182,186,351,23.9,1.1,0.9,31.9,42.2,0,0,12.93333333,0,0,0,0
3502220,Reserve Independent Schools,Catron County,New Mexico,2220,,4,4,,27,36,,182,186,132,62.9,0,0,34.1,3,0,0,7.3,0,0,0,0
4100003,Falls City School District 57,Polk County,Oregon,3,,0,0,,225,349,,241,373,207,87,0,1,5.3,1.4,0,5.3,12.3,0,0,0,0
4219800,Punxsutawney Area School District,Indiana County,Pennsylvania,19800,,4,2,,169,503,,688,884,2097,96.2,0.4,0.3,1.4,0.1,0,1.5,11.975,0,0,0,0
4219800,Punxsutawney Area School District,Jefferson County,Pennsylvania,19800,,4,2,,169,503,,688,884,2097,96.2,0.4,0.3,1.4,0.1,0,1.5,11.975,0,0,0,0
4400420,Foster-Glocester Regional School District,Providence County,Rhode Island,420,,3,3,,19,24,,57,54,1252,94.1,0.6,1.4,2.2,0.2,0,1.6,12.4,0,0,0,0
4603932,Sanborn Central School District 55-5,Davison County,South Dakota,3932,,2,3,,96,67,,138,147,196,91.8,0,0,1.5,2,0,4.6,9,0,0,0,0
4603932,Sanborn Central School District 55-5,Miner County,South Dakota,3932,,2,3,,96,67,,138,147,196,91.8,0,0,1.5,2,0,4.6,9,0,0,0,0
4603932,Sanborn Central School District 55-5,Sanborn County,South Dakota,3932,,2,3,,96,67,,138,147,196,91.8,0,0,1.5,2,0,4.6,9,0,0,0,0
4832310,Needville Independent School District,Fort Bend County,Texas,32310,,4,3,,335,691,,1839,2122,3228,48.7,3.6,0.3,46.1,0.2,0,1.1,15.65,0,0,0,0
5301560,Columbia School District,Stevens County,Washington,1560,,5,1,,42,456,,414,516,132,49.2,0,0.8,14.4,24.2,0,11.4,8.9,0,0,0,0
200030,Bristol Bay Borough School District,Bristol Bay Borough,Alaska,30,,4,,,24,,,77,,128,29.7,0.8,3.1,0.8,60.2,0,5.5,17.5,0,0,0,0
407530,Santa Cruz Valley Union High School District,Pinal County,Arizona,7530,,0,,,277,,,287,,366,6.8,8.5,0.3,82,2.2,0,0.3,23.8,0,0,0,0
605940,Bret Harte Union High School District,Calaveras County,California,5940,,2.333333333,,,1211.333333,,,2125,,686,70.4,0.1,1.3,21.3,1.3,0,5.5,18.03333333,0,0,0,0
609810,Corning Union High School District,Tehama County,California,9810,,1,,,1696.5,,,2125,,974,35,0.8,1.2,55.6,1.2,0,6.1,14,0,0,0,0
619110,Julian Union High School District,San Diego County,California,19110,,3,,,715,,,2125,,130,52.3,0,1.5,33.1,6.2,0,6.9,13.7,0,0,0,0
621270,Le Grand Union High School District,Merced County,California,21270,,1.5,,,1424,,,2125,,501,6.4,0.4,0.2,86.8,1.2,0,5,19.95,0,0,0,0
631230,Point Arena Joint Union High School District,Mendocino County,California,31230,,2,,,1443,,,2125,,142,35.9,0,0.7,54.2,7.7,0,1.4,11.8,0,0,0,0
631230,Point Arena Joint Union High School District,Sonoma County,California,31230,,2,,,1443,,,2125,,142,35.9,0,0.7,54.2,7.7,0,1.4,11.8,0,0,0,0
635850,Santa Ynez Valley Union High School District,Santa Barbara County,California,35850,,4,,,480,,,2125,,944,49.9,0.4,0.8,43.6,1.1,0,4.1,13.65,0,0,0,0
638610,Sutter Union High School District,Sutter County,California,38610,,2.5,,,1180.5,,,2125,,789,62.5,0.3,3,27.4,2.3,0,4.6,20.1,0,0,0,0
643410,Yreka Union High School District,Siskiyou County,California,43410,,2.5,,,1118,,,2125,,612,66,0.7,2.1,13.7,5.6,0,11.9,13.23333333,0,0,0,0
803420,Dolores County School District RE-2,Dolores County,Colorado,3420,,1,,,296,,,411,,250,90.8,0,0,6,1.6,0,1.6,11.26666667,0,0,0,0
803420,Dolores County School District RE-2,San Miguel County,Colorado,3420,,1,,,296,,,411,,250,90.8,0,0,6,1.6,0,1.6,11.26666667,0,0,0,0
807080,Huerfano School District RE-1,Huerfano County,Colorado,7080,,1,,,324,,,411,,553,36.7,0.9,0.9,57.3,3.6,0,0.5,18.6,0,0,0,0
805940,Otis School District R-3,Washington County,Colorado,5940,,2,,,257,,,411,,243,87.7,2.5,0,6.6,1.2,0,2.1,13.15,0,0,0,0
806780,Stratton School District R-4,Kit Carson County,Colorado,6780,,3,,,153,,,411,,228,75.9,0.4,0,21.1,2.2,0,0.4,12.56666667,0,0,0,0
1709300,Centralia High School District 200,Clinton County,Illinois,9300,,2,,,428,,,702,,905,75.2,9.1,1,5.5,0.4,0,8.7,14.1,0,0,0,0
1709300,Centralia High School District 200,Jefferson County,Illinois,9300,,2,,,428,,,702,,905,75.2,9.1,1,5.5,0.4,0,8.7,14.1,0,0,0,0
1709300,Centralia High School District 200,Marion County,Illinois,9300,,2,,,428,,,702,,905,75.2,9.1,1,5.5,0.4,0,8.7,14.1,0,0,0,0
1709300,Centralia High School District 200,Washington County,Illinois,9300,,2,,,428,,,702,,905,75.2,9.1,1,5.5,0.4,0,8.7,14.1,0,0,0,0
1711370,Community High School District 155,Lake County,Illinois,11370,,4.5,,,77.25,,,702,,6111,81.3,1.2,1.6,12.1,0.2,0,3.6,17.6,0,0,0,0
1711370,Community High School District 155,McHenry County,Illinois,11370,,4.5,,,77.25,,,702,,6111,81.3,1.2,1.6,12.1,0.2,0,3.6,17.6,0,0,0,0
1706540,Community High School District 218,Cook County,Illinois,6540,,2,,,455,,,702,,5354,32.3,28.2,1.2,35.9,0.1,0,2.2,13.225,0,0,0,0
1715030,Fenton Community High School District 100,DuPage County,Illinois,15030,,3,,,291,,,702,,1473,28.9,2.8,3.6,61.8,0.2,0,2.7,14.6,0,0,0,0
1723880,Lyons Township High School District 204,Cook County,Illinois,23880,,5,,,32,,,702,,4000,72.9,3.7,2.1,19.3,0.1,0,1.9,16,0,0,0,0
1731110,Pekin Community High School District 303,Tazewell County,Illinois,31110,,3,,,213,,,702,,1824,91.3,0.7,0.9,2.9,0.4,0,3.9,17,0,0,0,0
1733270,Reavis Township High School District 220,Cook County,Illinois,33270,,2,,,397,,,702,,1797,42.4,1.4,2.2,51.6,0.2,0,2.2,16.6,0,0,0,0
1734290,Rochelle Township High School District 212,DeKalb County,Illinois,34290,,3,,,351,,,702,,903,59,2.3,0.4,35.3,0.4,0,2.4,9.7,0,0,0,0
1734290,Rochelle Township High School District 212,Lee County,Illinois,34290,,3,,,351,,,702,,903,59,2.3,0.4,35.3,0.4,0,2.4,9.7,0,0,0,0
1734290,Rochelle Township High School District 212,Ogle County,Illinois,34290,,3,,,351,,,702,,903,59,2.3,0.4,35.3,0.4,0,2.4,9.7,0,0,0,0
1735850,Seneca Township High School District 160,Grundy County,Illinois,35850,,4,,,183,,,702,,456,90.8,0.4,0,7.9,0.7,0,0.2,12.4,0,0,0,0
1735850,Seneca Township High School District 160,LaSalle County,Illinois,35850,,4,,,183,,,702,,456,90.8,0.4,0,7.9,0.7,0,0.2,12.4,0,0,0,0
1738940,Thornton Fractional Township High School District,Cook County,Illinois,38940,,1,,,547,,,702,,3332,8.3,65.2,0.3,23.4,0.2,0,2.6,17.2,0,0,0,0
1719080,Township High School District 113,Lake County,Illinois,19080,,5,,,17.5,,,702,,3616,78,1.5,2.8,14.5,0.2,0,3.1,13.65,0,0,0,0
1908130,Corning Community School District,Adams County,Iowa,8130,,1,,,240,,,320,,422,95.3,0,0.7,1.2,0.7,0,2.1,10.9,0,0,0,0
1908130,Corning Community School District,Taylor County,Iowa,8130,,1,,,240,,,320,,422,95.3,0,0.7,1.2,0.7,0,2.1,10.9,0,0,0,0
2004500,Cedar Vale Unified School District 285,Chautauqua County,Kansas,4500,,1,,,252,,,325,,159,74.8,0.6,0.6,8.2,6.9,0,8.8,10.25,0,0,0,0
2004500,Cedar Vale Unified School District 285,Cowley County,Kansas,4500,,1,,,252,,,325,,159,74.8,0.6,0.6,8.2,6.9,0,8.8,10.25,0,0,0,0
2621420,Les Cheneaux Community Schools,Mackinac County,Michigan,21420,,2,,,376,,,666,,234,68.8,2.6,0,1.3,27.4,0,0,13,0,0,0,0
3002250,Arlee High School District,Lake County,Montana,2250,,0,,,111,,,119,,122,23.8,0,0,9.8,46.7,0,19.7,8.6,0,0,0,0
3002250,Arlee High School District,Missoula County,Montana,2250,,0,,,111,,,119,,122,23.8,0,0,9.8,46.7,0,19.7,8.6,0,0,0,0
3002250,Arlee High School District,Sanders County,Montana,2250,,0,,,111,,,119,,122,23.8,0,0,9.8,46.7,0,19.7,8.6,0,0,0,0
3002640,Bainville K-12 Schools,Roosevelt County,Montana,2640,,2,,,76,,,119,,148,93.2,0,0,0.7,3.4,0,2.7,8.7,0,0,0,0
3003750,Big Sandy K-12 Schools,Chouteau County,Montana,3750,,5,,,9,,,119,,173,82.7,1.2,0.6,2.3,11.6,0,1.7,8.8,0,0,0,0
3003840,Bigfork High School District,Flathead County,Montana,3840,,3,,,46,,,119,,311,92.9,0.3,0.3,3.9,1,0,1.6,14.7,0,0,0,0
3003840,Bigfork High School District,Lake County,Montana,3840,,3,,,46,,,119,,311,92.9,0.3,0.3,3.9,1,0,1.6,14.7,0,0,0,0
3004500,Box Elder High School District,Hill County,Montana,4500,,0,,,113,,,119,,101,2,0,0,1,95,0,2,9.6,0,0,0,0
3005190,Browning High School District,Glacier County,Montana,5190,,0,,,118,,,119,,576,1,0.2,0,0.2,98.1,0,0.5,15.2,0,0,0,0
3025140,Centerville High School District,Cascade County,Montana,25140,,3,,,58,,,119,,58,89.7,0,0,0,6.9,0,3.4,7.5,0,0,0,0
3006115,Charlo High School District,Lake County,Montana,6115,,1,,,99,,,119,,94,60.6,0,0,5.3,18.1,0,16,11.6,0,0,0,0
